Issue ID,Title,Description, Symptom,Root Cause,Triggering Value,Updating times ,Option Dependency,Issue-URL
6715,Fix petential cluster link error.,"when we dynamically set 'maxclients' we could reach an inconsistency between maximum file
descriptor number of the process and server.maxclients. And later could cause cluster link and link
fd inconsistency.",Crash,Improperly handle updated values,Valid-drastically,one time,no dependency,https://github.com/redis/redis/pull/6715
4538,Error opening /setting AOF rewrite IPC pipes: No such file or directory,"when redis is doing aof rewrite, use 'config set appendonly on' , maybe cause redis crash, all new coming clients will be reset by redis-server.",Crash,Improperly handle updated values,Valid,one time,no dependency,https://github.com/redis/redis/issues/4538
1771,Software watchdog crashes redis during rdb save point,setting watchdog crashes redis during rdb save point,Crash,Improperly handle updated values,Valid,one time,no dependency,https://github.com/redis/redis/issues/1771
1023,Software watchdog crashes redis during rdb save point,redis crash after config set watchdog,Crash,Improperly handle updated values,Valid,one time,no dependency,https://github.com/redis/redis/issues/1023
6964,Redis 5.0.7 & unstable crash on setting maxclients to a large value if MALLOC=libc,setting maxclients to a large value makes system crash,Crash,Bad update timing,Valid-drastically,one time,no dependency,https://github.com/redis/redis/issues/6964
3412,redis crash under the add maxclients,increasing maxclients make system crash,Crash,Bad update timing,Valid-drastically,one time,no dependency,https://github.com/redis/redis/issues/3412
8119,redis crash under the add maxclients,redis crashed after 'config set maxclients',Crash,Bad update timing,Valid-drastically,one time,no dependency,https://github.com/redis/redis/issues/8119
3709,Fix infinite loop: redis-cli should not use hostsock when cluster return redirection,"sets config.host and config.port, make infinite loop",Hang,Miss to propagate to other variables,Valid,one time,dependency,https://github.com/redis/redis/pull/3709
4545,bugfix: dead loop AOF rewrite when config set appendonly no,"when redis process is doing aof rewrite， close aof use command 'config set appendonly no' , this will maybe cause dead loop AOF rewrite",Hang,Fail to consider handling updated values,Valid,one time,no dependency,https://github.com/redis/redis/issues/4545
625,Failure to detect RDB snapshot child process is done,when redis is doing aof rewrite'config set appendonly no' cause hang,Hang,Fail to consider handling updated values,Valid,one time,no dependency,https://github.com/redis/redis/issues/625
8958,reset sentinel-user/pass to NULL when user config with empty string,"CONFIG SET option sentinel-user to NULL string, make function error",Functional Error,Load wrong updated values,Valid,one time,no dependency,https://github.com/redis/redis/pull/8958
7236,Handle binary safe string for REQUIREPASS and MASTERAUTH directives,"set REQUIREPASS with not safe SDS strings, got inconsistencies",Functional Error,Load wrong updated values,Valid,one time,no dependency,https://github.com/redis/redis/pull/7236
7898,"CONFIG SET requirepass '' leaves auth enabled, sets password to empty","CONFIG SET requirepass to'', making the password to empty",Functional Error,Load wrong updated values,Invalid,one time,no dependency,https://github.com/redis/redis/issues/7898
4634,config: handle special configuration '' for auth,"About special configuration item '', loading configuration file should be consistent with the behavior of config set",Functional Error,Load wrong updated values,Invalid,one time,no dependency,https://github.com/redis/redis/pull/4634
5025,config_set_numerical_field() integer overflow,The min/max value of config_set_numerical_field() should be consistent with the type definition,Functional Error,Load wrong updated values,Invalid,one time,no dependency,https://github.com/redis/redis/issues/5025
5012,fix active-defrag-threshold value error,The active-defrag-threshold-lower/active-defrag-threshold-upper min/max value in redis.conf should be consistent with 'config set' command.,Functional Error,Load wrong updated values,Invalid,one time,no dependency,https://github.com/redis/redis/pull/5012
3252,fix: config set list-max-ziplist-size didn't support negative values,config set list-max-ziplist-size didn't support negative values ,Functional Error,Load wrong updated values,Invalid,one time,no dependency,https://github.com/redis/redis/pull/3252
2357,Support '1G' etc. units in CONFIG SET maxmemory,"CONFIG SET maxmemory, didn't identify unit",Functional Error,Load wrong updated values,Valid,one time,no dependency,https://github.com/redis/redis/pull/2357
398,Support '1G' etc. units in CONFIG SET maxmemory,"CONFIG SET maxmemory with the usual form of 1k 5GB 4M, get wrong result",Functional Error,Load wrong updated values,Valid,one time,no dependency,https://github.com/redis/redis/issues/398
4125,fix rewrite config: auto-aof-rewrite-min-size,"using 'config set auto-aof-rewrite-min-size ' and '' can only be number which mean that I can only rewrite auto-aof-rewrite-min-size by bytes, which is not convenient.",Functional Error,Load wrong updated values,Valid,one time,no dependency,https://github.com/redis/redis/pull/4125
4904,Use memtoll() in 'CONFIG SET client-output-buffer-limit',"config set client-output-buffer-limit 1g, get wrong result",Functional Error,Load wrong updated values,Valid,one time,no dependency,https://github.com/redis/redis/pull/4904
4436,client-output-buffer-limit' input strings treated differently between redis.conf and CONFIG SET,There's a semantic difference between configuring client-output-buffer-limit through redis.conf and configuring the limits through the 'CONFIG SET client-output-buffer-limit' command ,Functional Error,Load wrong updated values,Valid,one time,no dependency,https://github.com/redis/redis/issues/4436
8852,Add validate for active-defrag config items,there is no validation for updating options which have relationship,Functional Error,Load wrong updated values,Valid,one time,dependency,https://github.com/redis/redis/pull/8852
8349,Redis Does Not Automatically Reload Certificates When Certificate File Updates,"In more rare cases, parameters are both inter-dependent and modifying them involves a validation step that would fail if they're not modified atomically",Functional Error,Fail to consider loading updated values,Valid,multiple options,dependency,https://github.com/redis/redis/issues/8349
8030,AOF: recover from last write error after turn on appendonly again,"config set appendonly no,yes. and get result error",Functional Error,Miss to propagate to other variables,Valid,two times,no dependency,https://github.com/redis/redis/pull/8030
4283,[Redis Cluster] clusterCron Memory Leak,updating cluster-announce-ip cause memery leak,Resource Abuse,Improperly handle updated values,Valid,one time,dependency,https://github.com/redis/redis/issues/4283
4323,Redis 4.x lazyfree: memory leak may happen when free slowlog entry,on the fly decreasing slowlog-log-slower-than cause memery leak,Resource Abuse,Improperly handle updated values,Valid,one time,no dependency,https://github.com/redis/redis/issues/4323
